2025-10-26 16:43:08,530 [INFO] Starting game: default_scenario - simple: 4 vs long_short: 4
2025-10-26 16:43:10,887 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [232.0, 252.0, 264.0, 144.0, 600.0, 580.0, 584.0, 564.0], 'agent_y': [152.0, 240.0, 380.0, 424.0, 476.0, 348.0, 256.0, 156.0]}
2025-10-26 16:43:10,903 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [232.0, 252.0, 268.0, 140.0, 600.0, 580.0, 580.0, 560.0], 'agent_y': [152.0, 240.0, 380.0, 420.0, 472.0, 348.0, 260.0, 160.0]}
2025-10-26 16:43:10,920 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [232.0, 252.0, 272.0, 136.0, 604.0, 580.0, 576.0, 556.0], 'agent_y': [152.0, 240.0, 380.0, 416.0, 468.0, 348.0, 264.0, 164.0]}
2025-10-26 16:43:10,937 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [236.0, 252.0, 276.0, 132.0, 608.0, 580.0, 572.0, 552.0], 'agent_y': [156.0, 240.0, 380.0, 412.0, 464.0, 352.0, 268.0, 168.0]}
2025-10-26 16:43:10,953 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [240.0, 252.0, 280.0, 128.0, 612.0, 580.0, 568.0, 548.0], 'agent_y': [160.0, 240.0, 380.0, 408.0, 460.0, 356.0, 272.0, 172.0]}
2025-10-26 16:43:10,970 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [244.0, 252.0, 284.0, 128.0, 616.0, 580.0, 564.0, 544.0], 'agent_y': [164.0, 240.0, 380.0, 408.0, 456.0, 360.0, 276.0, 176.0]}
2025-10-26 16:43:10,987 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [248.0, 252.0, 288.0, 124.0, 620.0, 580.0, 560.0, 540.0], 'agent_y': [168.0, 240.0, 380.0, 404.0, 452.0, 364.0, 280.0, 180.0]}
2025-10-26 16:43:11,003 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [252.0, 252.0, 292.0, 120.0, 624.0, 580.0, 556.0, 536.0], 'agent_y': [172.0, 240.0, 380.0, 400.0, 448.0, 360.0, 284.0, 184.0]}
2025-10-26 16:43:11,020 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [256.0, 256.0, 292.0, 116.0, 628.0, 580.0, 552.0, 532.0], 'agent_y': [176.0, 240.0, 380.0, 396.0, 444.0, 356.0, 288.0, 188.0]}
2025-10-26 16:43:11,037 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 260.0, 296.0, 112.0, 628.0, 580.0, 548.0, 528.0], 'agent_y': [180.0, 240.0, 380.0, 392.0, 444.0, 352.0, 292.0, 192.0]}
2025-10-26 16:43:11,053 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 264.0, 300.0, 108.0, 628.0, 580.0, 544.0, 524.0], 'agent_y': [180.0, 240.0, 380.0, 388.0, 444.0, 352.0, 296.0, 196.0]}
2025-10-26 16:43:11,070 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 264.0, 304.0, 104.0, 628.0, 580.0, 540.0, 520.0], 'agent_y': [180.0, 240.0, 380.0, 384.0, 440.0, 352.0, 300.0, 200.0]}
2025-10-26 16:43:11,087 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 268.0, 304.0, 100.0, 628.0, 580.0, 536.0, 516.0], 'agent_y': [180.0, 240.0, 380.0, 380.0, 436.0, 352.0, 304.0, 204.0]}
2025-10-26 16:43:11,103 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [264.0, 272.0, 304.0, 96.0, 632.0, 576.0, 536.0, 512.0], 'agent_y': [184.0, 240.0, 380.0, 376.0, 432.0, 348.0, 304.0, 208.0]}
2025-10-26 16:43:11,120 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [268.0, 276.0, 308.0, 96.0, 636.0, 572.0, 536.0, 508.0], 'agent_y': [188.0, 240.0, 380.0, 376.0, 428.0, 344.0, 304.0, 212.0]}
2025-10-26 16:43:11,137 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [272.0, 280.0, 312.0, 96.0, 640.0, 568.0, 532.0, 504.0], 'agent_y': [192.0, 240.0, 380.0, 376.0, 424.0, 340.0, 304.0, 216.0]}
2025-10-26 16:43:11,153 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [276.0, 284.0, 316.0, 92.0, 644.0, 564.0, 528.0, 500.0], 'agent_y': [196.0, 240.0, 380.0, 372.0, 420.0, 336.0, 304.0, 220.0]}
2025-10-26 16:43:11,170 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [280.0, 288.0, 316.0, 88.0, 644.0, 560.0, 524.0, 496.0], 'agent_y': [200.0, 240.0, 380.0, 368.0, 420.0, 332.0, 304.0, 224.0]}
2025-10-26 16:43:11,187 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [283.66139073516166, 292.33860926483834, 316.0, 84.0, 644.0, 556.0, 520.0, 492.0], 'agent_y': [202.47625830822741, 241.52374169177259, 380.0, 364.0, 420.0, 328.0, 304.0, 228.0]}
