2025-10-26 15:31:18,868 [INFO] Starting game: default_scenario - free_simple: 2 vs two_capped_neural: 2
2025-10-26 15:31:21,147 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [200.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 15:31:21,159 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [204.0, 200.0, 600.0, 600.0], 'agent_y': [200.0, 400.0, 400.0, 200.0]}
2025-10-26 15:31:21,175 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [208.0, 204.0, 600.0, 600.0], 'agent_y': [204.0, 396.0, 400.0, 200.0]}
2025-10-26 15:31:21,192 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [212.0, 208.0, 596.0, 600.0], 'agent_y': [204.0, 392.0, 396.0, 200.0]}
2025-10-26 15:31:21,208 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [216.0, 212.0, 592.0, 596.0], 'agent_y': [204.0, 388.0, 392.0, 204.0]}
2025-10-26 15:31:21,225 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [220.0, 216.0, 588.0, 592.0], 'agent_y': [208.0, 384.0, 388.0, 208.0]}
2025-10-26 15:31:21,242 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [224.0, 220.0, 584.0, 588.0], 'agent_y': [208.0, 380.0, 384.0, 212.0]}
2025-10-26 15:31:21,258 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [228.0, 220.0, 580.0, 584.0], 'agent_y': [212.0, 380.0, 380.0, 216.0]}
2025-10-26 15:31:21,275 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [232.0, 224.0, 576.0, 580.0], 'agent_y': [216.0, 376.0, 376.0, 220.0]}
2025-10-26 15:31:21,292 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [236.0, 228.0, 572.0, 576.0], 'agent_y': [216.0, 372.0, 372.0, 224.0]}
2025-10-26 15:31:21,308 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [240.0, 232.0, 568.0, 572.0], 'agent_y': [216.0, 368.0, 368.0, 228.0]}
2025-10-26 15:31:21,325 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [244.0, 236.0, 564.0, 568.0], 'agent_y': [216.0, 364.0, 364.0, 232.0]}
2025-10-26 15:31:21,342 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [248.0, 240.0, 560.0, 564.0], 'agent_y': [220.0, 360.0, 360.0, 236.0]}
2025-10-26 15:31:21,359 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [252.0, 244.0, 556.0, 560.0], 'agent_y': [220.0, 356.0, 356.0, 240.0]}
2025-10-26 15:31:21,375 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [256.0, 244.0, 552.0, 556.0], 'agent_y': [220.0, 356.0, 352.0, 244.0]}
2025-10-26 15:31:21,392 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [260.0, 244.0, 548.0, 552.0], 'agent_y': [224.0, 356.0, 348.0, 248.0]}
2025-10-26 15:31:21,408 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [264.0, 248.0, 544.0, 548.0], 'agent_y': [228.0, 352.0, 344.0, 252.0]}
2025-10-26 15:31:21,425 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [268.0, 252.0, 540.0, 544.0], 'agent_y': [228.0, 348.0, 340.0, 256.0]}
2025-10-26 15:31:21,442 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [272.0, 256.0, 536.0, 540.0], 'agent_y': [228.0, 344.0, 336.0, 260.0]}
2025-10-26 15:31:21,459 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [276.0, 256.0, 532.0, 536.0], 'agent_y': [232.0, 344.0, 332.0, 264.0]}
2025-10-26 15:31:21,475 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [280.0, 256.0, 528.0, 532.0], 'agent_y': [232.0, 344.0, 328.0, 268.0]}
2025-10-26 15:31:21,492 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [284.0, 256.0, 524.0, 528.0], 'agent_y': [232.0, 344.0, 324.0, 272.0]}
2025-10-26 15:31:21,508 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [288.0, 260.0, 520.0, 524.0], 'agent_y': [236.0, 340.0, 320.0, 276.0]}
2025-10-26 15:31:21,525 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [292.0, 264.0, 515.7913694232873, 520.2086305767127], 'agent_y': [236.0, 336.0, 317.87767519041427, 278.12232480958573]}
2025-10-26 15:31:21,542 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [296.0, 268.0, 511.54781696397066, 516.4521830360293], 'agent_y': [236.0, 332.0, 315.8491011977321, 276.1508988022679]}
2025-10-26 15:31:21,558 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 272.0, 507.27788659629755, 512.7221134037025], 'agent_y': [240.0, 328.0, 313.8138870143489, 274.1861129856511]}
2025-10-26 15:31:21,575 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [304.0, 276.0, 502.6072102731427, 509.3927897268573], 'agent_y': [240.0, 324.0, 313.71012424794253, 274.28987575205747]}
2025-10-26 15:31:21,592 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [308.0, 280.0, 497.7780921129777, 506.2219078870223], 'agent_y': [244.0, 320.0, 313.5493098035071, 274.4506901964929]}
2025-10-26 15:31:21,608 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 400.0, 'puck_y': 300.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [312.0, 284.0, 492.7593907284429, 503.2406092715571], 'agent_y': [244.0, 316.0, 313.30119256582014, 274.69880743417986]}
