2025-10-26 17:12:12,941 [INFO] Starting game: default_scenario - regional_simple: 2 vs long_short: 2
2025-10-26 17:12:14,983 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 300.0, 900.0, 900.0], 'agent_y': [106.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 17:12:14,991 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 300.0, 900.0, 900.0], 'agent_y': [106.66666666666667, 213.33333333333334, 213.33333333333331, 106.66666666666666]}
2025-10-26 17:12:15,007 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [300.0, 306.0, 906.0, 894.0], 'agent_y': [106.66666666666667, 213.33333333333334, 207.33333333333331, 112.66666666666666]}
2025-10-26 17:12:15,024 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [306.0, 312.0, 912.0, 888.0], 'agent_y': [106.66666666666667, 213.33333333333334, 201.33333333333331, 118.66666666666666]}
2025-10-26 17:12:15,041 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [312.0, 318.0, 918.0, 882.0], 'agent_y': [106.66666666666667, 213.33333333333334, 195.33333333333331, 124.66666666666666]}
2025-10-26 17:12:15,057 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [318.0, 324.0, 924.0, 876.0], 'agent_y': [106.66666666666667, 213.33333333333334, 189.33333333333331, 130.66666666666666]}
2025-10-26 17:12:15,074 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [324.0, 330.0, 930.0, 870.0], 'agent_y': [106.66666666666667, 213.33333333333334, 183.33333333333331, 136.66666666666666]}
2025-10-26 17:12:15,091 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [330.0, 336.0, 936.0, 864.0], 'agent_y': [106.66666666666667, 213.33333333333334, 177.33333333333331, 142.66666666666666]}
2025-10-26 17:12:15,107 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [336.0, 342.0, 942.0, 858.0], 'agent_y': [106.66666666666667, 213.33333333333334, 171.33333333333331, 148.66666666666666]}
2025-10-26 17:12:15,124 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [342.0, 348.0, 948.0, 852.0], 'agent_y': [106.66666666666667, 213.33333333333334, 165.33333333333331, 154.66666666666666]}
2025-10-26 17:12:15,141 [INFO] {'team_a_score': 0, 'team_b_score': 0, 'puck_x': 600.0, 'puck_y': 160.0, 'puck_vx': 0.0, 'puck_vy': 0.0, 'agent_x': [348.0, 354.0, 954.0, 846.0], 'agent_y': [106.66666666666667, 213.33333333333334, 159.33333333333331, 160.66666666666666]}
